timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, gpislabel, KFwhisker1, KFwhisker2
19763, 0.0027685558889061213, 0.002142670564353466, 0.0032452871091663837, 0.004291935358196497, 126801.9296875, 157431.4375, 97259.2421875, 117352.4921875, 142180.171875, 103873.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1279718577861786, 378.0, 0.0, 0.0, 0.0
19783, 0.002835731953382492, 0.002226889366284013, 0.003375634551048279, 0.004503095056861639, 126801.5859375, 157427.53125, 97262.0390625, 117348.125, 142175.109375, 103875.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.130464568734169, 378.0, 0.0, 0.0, 0.0
19803, 0.0031387072522193193, 0.0017813026206567883, 0.004816044587641954, 0.0022381979506462812, 126800.3203125, 157427.53125, 97262.53125, 117351.6328125, 142177.40625, 103874.046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1307656317949295, 381.0, 0.0, 0.0, 0.0
19823, 0.0020329789258539677, 0.0021208026446402073, -0.00029293267289176583, 0.003925722558051348, 126806.3984375, 157431.4375, 97257.984375, 117357.515625, 142181.5, 103876.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12932619452476501, 381.0, 0.0, 0.0, 0.0
19843, 0.002709653927013278, 0.002100125653669238, 0.002922970801591873, 0.0037138352636247873, 126800.3203125, 157431.4375, 97255.9609375, 117356.859375, 142179.703125, 103867.796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13199995458126068, 381.0, 0.0, 0.0, 0.0
19863, 0.0031183650717139244, 0.002160362433642149, 0.004631982184946537, 0.0037173666059970856, 126806.3984375, 157427.53125, 97260.015625, 117347.265625, 142183.3125, 103872.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13106942176818848, 382.0, 0.0, 0.0, 0.0
19883, 0.0032142174895852804, 0.002234070096164942, 0.004827023949474096, 0.003983564209192991, 126804.796875, 157431.4375, 97258.7578125, 117361.21875, 142180.171875, 103880.390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13235735893249512, 382.0, 0.0, 0.0, 0.0
19903, 0.003304702928289771, 0.002313381526619196, 0.0051860446110367775, 0.003937194123864174, 126802.5625, 157429.484375, 97260.015625, 117361.21875, 142181.03125, 103870.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13066767156124115, 382.0, 0.0, 0.0, 0.0
19923, 0.002870595781132579, 0.0018807899905368686, 0.003067995887249708, 0.001590999192558229, 126809.265625, 157427.53125, 97260.015625, 117355.3359375, 142177.890625, 103876.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13206197321414948, 373.0, 0.0, 0.0, 0.0
19943, 0.003215643810108304, 0.002238960238173604, 0.00464830594137311, 0.002779147354885936, 126806.3984375, 157431.4375, 97257.21875, 117357.515625, 142178.734375, 103872.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13055017590522766, 373.0, 0.0, 0.0, 0.0
